;season;name;log_marketvalue;log_prev_marketvalue;height_cm;age;position;foot;appearances;assists;goals;in_squad;minutes_played;owngoals;penalty;pointspermatch;red;secondyellow;sub_off;sub_on;yellow;marketvalue;prev_marketvalue
8;19/20;Aaron Cresswell;15.58195221920804;15.789591583986283;170.0;30;Defender;left;25.0;0.0;3.0;26.0;2205.0;0.0;0.0;1.2766666666666666;0.0;0.0;2.0;0.0;7.0;5850000.0;7200000.0
9;18/19;Aaron Cresswell;16.012735135300492;16.012735135300492;170.0;29;Defender;left;22.0;2.0;0.0;30.0;1769.0;0.0;0.0;2.15;0.0;0.0;2.0;2.0;1.0;9000000.0;9000000.0
10;17/18;Aaron Cresswell;16.195056692094447;16.195056692094447;170.0;28;Defender;left;39.0;7.0;1.0;42.0;3317.0;0.0;0.0;0.8799999999999999;0.0;0.0;6.0;1.0;7.0;10800000.0;10800000.0
11;16/17;Aaron Cresswell;16.195056692094447;16.195056692094447;170.0;27;Defender;left;29.0;2.0;0.0;30.0;2344.0;0.0;0.0;0.9366666666666666;0.0;1.0;4.0;2.0;2.0;10800000.0;10800000.0
12;19/20;Aaron Lennon;14.585618779660347;14.808762330974558;165.0;33;Forward;right;19.0;1.0;0.0;29.0;734.0;0.0;0.0;0.9366666666666666;0.0;0.0;2.0;12.0;4.0;2160000.0;2700000.0
13;18/19;Aaron Lennon;15.319587954740548;15.319587954740548;165.0;32;Forward;right;22.0;1.0;1.0;23.0;1563.0;0.0;0.0;1.125;0.0;0.0;7.0;4.0;2.0;4500000.0;4500000.0
14;17/18;Aaron Lennon;15.319587954740548;15.319587954740548;165.0;31;Forward;right;33.0;4.0;0.0;34.0;2113.0;0.0;0.0;1.0399999999999998;0.0;0.0;16.0;9.0;2.0;4500000.0;4500000.0
15;16/17;Aaron Lennon;15.319587954740548;15.501909511534503;165.0;30;Forward;right;13.0;1.0;1.0;24.0;667.0;0.0;0.0;1.4300000000000002;0.0;0.0;6.0;5.0;0.0;4500000.0;5400000.0
16;19/20;Aaron Leya Iseka;14.403297222866392;14.626440774180603;182.0;22;Forward;right;23.0;0.0;2.0;27.0;855.0;0.0;1.0;1.635;0.0;0.0;4.0;16.0;2.0;1800000.0;2250000.0
17;18/19;Aaron Leya Iseka;14.808762330974558;14.808762330974558;182.0;21;Forward;right;32.0;0.0;6.0;37.0;1672.0;0.0;0.0;1.0133333333333334;1.0;0.0;6.0;15.0;2.0;2700000.0;2700000.0
18;17/18;Aaron Leya Iseka;14.498607402670718;14.626440774180603;182.0;20;Forward;right;32.0;1.0;9.0;44.0;1917.0;0.0;1.0;0.952;0.0;0.0;3.0;13.0;4.0;1980000.0;2250000.0
19;16/17;Aaron Leya Iseka;13.933293593620657;14.115615150414612;182.0;19;Forward;right;9.0;2.0;0.0;16.0;332.0;0.0;0.0;0.75;0.0;0.0;3.0;6.0;1.0;1125000.0;1350000.0
20;19/20;Aaron Mooy;15.961441840912943;16.195056692094447;179.0;29;Midfielder;right;24.0;1.0;2.0;29.0;1839.0;0.0;0.0;1.3033333333333335;0.0;1.0;7.0;2.0;0.0;8550000.0;10800000.0
21;18/19;Aaron Mooy;16.349207371921707;16.349207371921707;179.0;28;Midfielder;right;30.0;1.0;3.0;30.0;2348.0;0.0;1.0;0.26;0.0;0.0;1.0;5.0;4.0;12600000.0;12600000.0
22;17/18;Aaron Mooy;16.012735135300492;15.907374619642667;179.0;27;Midfielder;right;38.0;4.0;4.0;38.0;3207.0;0.0;1.0;1.3133333333333332;0.0;0.0;5.0;3.0;4.0;9000000.0;8100000.0
23;16/17;Aaron Mooy;15.319587954740548;13.710150042306449;179.0;26;Midfielder;right;51.0;10.0;4.0;51.0;4295.0;0.0;1.0;1.7650000000000001;0.0;0.0;1.0;5.0;6.0;4500000.0;900000.0
28;19/20;Aaron Ramsey;17.04235455248165;17.26549810379586;182.0;29;Midfielder;both;24.0;1.0;4.0;30.0;1097.0;0.0;0.0;1.75;0.0;0.0;11.0;12.0;1.0;25200000.0;31500000.0
29;18/19;Aaron Ramsey;17.399029496420383;17.399029496420383;182.0;28;Midfielder;both;40.0;8.0;6.0;44.0;2171.0;0.0;1.0;1.93;0.0;0.0;13.0;16.0;0.0;36000000.0;36000000.0
30;17/18;Aaron Ramsey;17.516812532076766;17.399029496420383;182.0;27;Midfielder;both;32.0;12.0;11.0;32.0;2466.0;0.0;0.0;1.72;0.0;0.0;6.0;4.0;2.0;40500000.0;36000000.0
31;16/17;Aaron Ramsey;17.26549810379586;17.26549810379586;182.0;26;Midfielder;both;32.0;5.0;4.0;33.0;2016.0;0.0;0.0;1.71;0.0;0.0;6.0;10.0;3.0;31500000.0;31500000.0
40;19/20;Aarón Martín;16.061525299469924;16.275099399767985;178.0;23;Defender;left;19.0;0.0;0.0;24.0;1576.0;0.0;0.0;0.5;0.0;0.0;3.0;1.0;0.0;9450000.0;11700000.0
41;18/19;Aarón Martín;16.70588231586044;16.48273876454623;178.0;22;Defender;left;34.0;5.0;0.0;36.0;2999.0;0.0;0.0;2.15;0.0;0.0;2.0;1.0;3.0;18000000.0;14400000.0
42;17/18;Aarón Martín;16.195056692094447;16.70588231586044;178.0;21;Defender;left;35.0;0.0;0.0;43.0;2993.0;0.0;0.0;1.32;0.0;0.0;2.0;2.0;7.0;10800000.0;18000000.0
43;16/17;Aarón Martín;16.012735135300492;15.501909511534503;178.0;20;Defender;left;36.0;0.0;0.0;40.0;3090.0;0.0;0.0;0.8666666666666667;0.0;0.0;0.0;3.0;6.0;9000000.0;5400000.0
48;19/20;Abdallah Ndour;12.965709567358951;13.199324418540456;186.0;26;Defender;left;12.0;1.0;0.0;24.0;837.0;0.0;0.0;2.2925;1.0;1.0;2.0;3.0;0.0;427500.0;540000.0
49;18/19;Abdallah Ndour;13.199324418540456;13.199324418540456;186.0;25;Defender;left;6.0;1.0;0.0;21.0;490.0;0.0;0.0;1.5;0.0;0.0;4.0;0.0;0.0;540000.0;540000.0
50;17/18;Abdallah Ndour;13.199324418540456;13.199324418540456;186.0;24;Defender;left;5.0;0.0;0.0;5.0;252.0;0.0;0.0;0.6;1.0;0.0;0.0;2.0;2.0;540000.0;540000.0
51;16/17;Abdallah Ndour;13.199324418540456;13.017002861746503;186.0;23;Defender;left;36.0;2.0;1.0;36.0;2990.0;0.0;0.0;2.0833333333333335;0.0;0.0;2.0;3.0;7.0;540000.0;450000.0
52;19/20;Abdelhamid Sabiri;14.240778293368619;14.498607402670718;186.0;23;Midfielder;right;18.0;1.0;3.0;23.0;885.0;0.0;1.0;0.355;0.0;0.0;2.0;10.0;4.0;1530000.0;1980000.0
53;18/19;Abdelhamid Sabiri;14.115615150414612;14.115615150414612;186.0;22;Midfielder;right;3.0;0.0;0.0;3.0;93.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1350000.0;1350000.0
54;17/18;Abdelhamid Sabiri;13.710150042306449;13.710150042306449;186.0;21;Midfielder;right;10.0;1.0;0.0;18.0;505.0;0.0;0.0;0.7166666666666667;0.0;0.0;3.0;5.0;1.0;900000.0;900000.0
55;16/17;Abdelhamid Sabiri;12.793859310432293;12.323855681186558;186.0;20;Midfielder;right;30.0;6.0;17.0;30.0;2289.0;1.0;2.0;1.15;0.0;0.0;8.0;4.0;6.0;360000.0;225000.0
56;19/20;Abdou Diallo;17.04235455248165;17.26549810379586;187.0;24;Defender;left;22.0;1.0;0.0;31.0;1582.0;0.0;0.0;2.888;0.0;0.0;4.0;4.0;4.0;25200000.0;31500000.0
57;18/19;Abdou Diallo;17.26549810379586;17.20665760377293;187.0;23;Defender;left;38.0;1.0;1.0;38.0;3257.0;0.0;0.0;1.9766666666666666;1.0;0.0;4.0;1.0;2.0;31500000.0;29700000.0
58;17/18;Abdou Diallo;16.195056692094447;16.012735135300492;187.0;22;Defender;left;30.0;1.0;3.0;30.0;2686.0;0.0;0.0;1.575;0.0;0.0;1.0;0.0;5.0;10800000.0;9000000.0
59;16/17;Abdou Diallo;13.710150042306449;13.710150042306449;187.0;21;Defender;left;11.0;1.0;0.0;37.0;951.0;0.0;0.0;1.9625;0.0;0.0;1.0;2.0;1.0;900000.0;900000.0
64;19/20;Abdoulaye Bamba;14.403297222866392;14.626440774180603;182.0;30;Defender;right;10.0;1.0;0.0;19.0;853.0;0.0;0.0;0.75;0.0;0.0;0.0;1.0;2.0;1800000.0;2250000.0
65;18/19;Abdoulaye Bamba;14.808762330974558;14.626440774180603;182.0;29;Defender;right;30.0;4.0;0.0;35.0;2574.0;0.0;0.0;1.33;0.0;0.0;2.0;1.0;6.0;2700000.0;2250000.0
66;17/18;Abdoulaye Bamba;13.710150042306449;13.710150042306449;182.0;28;Defender;right;21.0;0.0;0.0;30.0;1803.0;0.0;0.0;1.26;0.0;0.0;1.0;1.0;2.0;900000.0;900000.0
67;16/17;Abdoulaye Bamba;13.710150042306449;13.487006490992238;182.0;27;Defender;right;12.0;2.0;0.0;13.0;791.0;1.0;0.0;2.5;0.0;0.0;1.0;3.0;3.0;900000.0;720000.0
72;19/20;Abdoulaye Doucouré;16.70588231586044;16.929025867174648;183.0;27;Midfielder;right;30.0;2.0;4.0;30.0;2562.0;1.0;0.0;1.215;0.0;0.0;8.0;1.0;9.0;18000000.0;22500000.0
73;18/19;Abdoulaye Doucouré;16.929025867174648;16.929025867174648;183.0;26;Midfielder;right;40.0;6.0;5.0;40.0;3386.0;1.0;0.0;2.2066666666666666;0.0;0.0;1.0;3.0;9.0;22500000.0;22500000.0
74;17/18;Abdoulaye Doucouré;16.41820024340866;16.195056692094447;183.0;25;Midfielder;right;39.0;4.0;7.0;39.0;3496.0;0.0;0.0;1.3050000000000002;0.0;0.0;2.0;0.0;10.0;13500000.0;10800000.0
75;16/17;Abdoulaye Doucouré;15.501909511534503;15.501909511534503;183.0;24;Midfielder;right;23.0;0.0;1.0;27.0;1658.0;0.0;0.0;0.7999999999999999;0.0;0.0;3.0;6.0;5.0;5400000.0;5400000.0
80;19/20;Abdul Rahman Baba;14.585618779660347;14.808762330974558;179.0;25;Defender;left;3.0;0.0;0.0;3.0;199.0;0.0;0.0;0.25;0.0;0.0;1.0;0.0;1.0;2160000.0;2700000.0
81;18/19;Abdul Rahman Baba;15.319587954740548;15.319587954740548;179.0;24;Defender;left;15.0;1.0;1.0;20.0;1292.0;0.0;0.0;1.8625;0.0;0.0;2.0;1.0;3.0;4500000.0;4500000.0
82;17/18;Abdul Rahman Baba;15.789591583986283;15.789591583986283;179.0;23;Defender;left;1.0;0.0;0.0;2.0;33.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;7200000.0;7200000.0
83;16/17;Abdul Rahman Baba;15.789591583986283;15.789591583986283;179.0;22;Defender;left;21.0;2.0;1.0;24.0;1307.0;1.0;0.0;2.1933333333333334;0.0;0.0;2.0;7.0;4.0;7200000.0;7200000.0
84;19/20;Abdón Prats;13.279367126213993;13.487006490992238;181.0;27;Forward;left;15.0;0.0;0.0;22.0;291.0;0.0;0.0;0.94;0.0;0.0;2.0;13.0;1.0;585000.0;720000.0
85;18/19;Abdón Prats;13.487006490992238;13.017002861746503;181.0;26;Forward;left;36.0;4.0;7.0;42.0;1555.0;0.0;1.0;1.0599999999999998;0.0;1.0;10.0;21.0;1.0;720000.0;450000.0
86;17/18;Abdón Prats;13.017002861746503;12.793859310432293;181.0;25;Forward;left;36.0;0.0;12.0;37.0;2586.0;0.0;1.0;1.925;0.0;0.0;20.0;5.0;9.0;450000.0;360000.0
87;16/17;Abdón Prats;12.793859310432293;12.506177237980511;181.0;24;Forward;left;26.0;2.0;14.0;33.0;1618.0;0.0;0.0;1.2475;1.0;0.0;15.0;6.0;3.0;360000.0;270000.0
88;19/20;Achraf Hakimi;17.69913408887072;17.80449460452855;181.0;21;Defender;right;37.0;10.0;7.0;37.0;2900.0;0.0;0.0;2.1675;0.0;0.0;6.0;6.0;3.0;48600000.0;54000000.0
89;18/19;Achraf Hakimi;17.111347423968603;17.111347423968603;181.0;20;Defender;right;28.0;7.0;3.0;38.0;2379.0;0.0;0.0;1.8233333333333335;0.0;0.0;2.0;3.0;5.0;27000000.0;27000000.0
90;17/18;Achraf Hakimi;15.319587954740548;15.319587954740548;181.0;19;Defender;right;17.0;1.0;2.0;29.0;1315.0;0.0;0.0;1.8024999999999998;0.0;0.0;3.0;3.0;0.0;4500000.0;4500000.0
91;16/17;Achraf Hakimi;12.506177237980511;12.506177237980511;181.0;18;Defender;right;34.0;10.0;2.0;38.0;2844.0;0.0;0.0;1.895;1.0;1.0;2.0;2.0;9.0;270000.0;270000.0
92;19/20;Adalberto Peñaranda;13.710150042306449;13.972514306773938;186.0;22;Forward;right;7.0;0.0;1.0;7.0;451.0;0.0;0.0;1.2666666666666666;0.0;0.0;2.0;2.0;3.0;900000.0;1170000.0
93;18/19;Adalberto Peñaranda;14.403297222866392;14.403297222866392;186.0;21;Forward;right;2.0;0.0;0.0;5.0;94.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;1800000.0;1800000.0
94;17/18;Adalberto Peñaranda;14.403297222866392;14.626440774180603;186.0;20;Forward;right;13.0;0.0;0.0;14.0;808.0;0.0;0.0;0.77;0.0;0.0;8.0;2.0;3.0;1800000.0;2250000.0
95;16/17;Adalberto Peñaranda;14.808762330974558;14.808762330974558;186.0;19;Forward;right;10.0;0.0;0.0;17.0;355.0;0.0;0.0;0.5566666666666666;0.0;0.0;2.0;8.0;1.0;2700000.0;2700000.0
96;19/20;Adam Bodzek;12.58621994565405;12.793859310432293;184.0;34;Midfielder;right;22.0;0.0;0.0;23.0;1644.0;0.0;0.0;1.175;0.0;0.0;4.0;4.0;8.0;292500.0;360000.0
97;18/19;Adam Bodzek;12.793859310432293;12.793859310432293;184.0;33;Midfielder;right;21.0;1.0;0.0;27.0;1602.0;0.0;0.0;1.48;1.0;0.0;8.0;1.0;4.0;360000.0;360000.0
98;17/18;Adam Bodzek;12.793859310432293;12.793859310432293;184.0;32;Midfielder;right;24.0;1.0;1.0;28.0;1865.0;0.0;0.0;1.92;0.0;0.0;8.0;3.0;6.0;360000.0;360000.0
99;16/17;Adam Bodzek;12.911642346088676;12.911642346088676;184.0;31;Midfielder;right;29.0;1.0;1.0;30.0;2539.0;0.0;0.0;1.415;0.0;1.0;4.0;0.0;9.0;405000.0;405000.0
100;19/20;Adam Lallana;15.961441840912943;16.195056692094447;172.0;32;Midfielder;both;22.0;2.0;1.0;39.0;899.0;0.0;0.0;2.034;0.0;0.0;4.0;14.0;2.0;8550000.0;10800000.0
101;18/19;Adam Lallana;16.41820024340866;16.41820024340866;172.0;31;Midfielder;both;16.0;0.0;0.0;29.0;568.0;0.0;0.0;2.27;0.0;0.0;6.0;10.0;2.0;13500000.0;13500000.0
102;17/18;Adam Lallana;16.929025867174648;16.929025867174648;172.0;30;Midfielder;both;16.0;1.0;0.0;19.0;519.0;0.0;0.0;1.4575;1.0;0.0;3.0;12.0;1.0;22500000.0;22500000.0
103;16/17;Adam Lallana;16.929025867174648;16.801192495664765;172.0;29;Midfielder;both;35.0;7.0;8.0;36.0;2607.0;0.0;0.0;1.3333333333333333;0.0;0.0;18.0;5.0;3.0;22500000.0;19800000.0
108;19/20;Adam Marusic;15.414898134544874;15.65606019136176;185.0;27;Midfielder;right;10.0;0.0;2.0;19.0;686.0;0.0;0.0;2.4;0.0;0.0;2.0;2.0;2.0;4950000.0;6300000.0
109;18/19;Adam Marusic;15.65606019136176;16.012735135300492;185.0;26;Midfielder;right;34.0;1.0;2.0;43.0;2693.0;0.0;0.0;1.86;2.0;0.0;4.0;4.0;4.0;6300000.0;9000000.0
110;17/18;Adam Marusic;16.012735135300492;15.789591583986283;185.0;25;Midfielder;right;39.0;5.0;3.0;47.0;2942.0;0.0;0.0;1.8775;1.0;0.0;7.0;7.0;4.0;9000000.0;7200000.0
111;16/17;Adam Marusic;14.626440774180603;14.403297222866392;185.0;24;Midfielder;right;40.0;6.0;5.0;40.0;3477.0;0.0;0.0;1.87;0.0;0.0;1.0;2.0;9.0;2250000.0;1800000.0
112;19/20;Adam Masina;15.414898134544874;15.65606019136176;191.0;26;Defender;left;19.0;0.0;1.0;23.0;1402.0;0.0;0.0;1.7066666666666668;0.0;0.0;1.0;4.0;3.0;4950000.0;6300000.0
113;18/19;Adam Masina;15.65606019136176;15.65606019136176;191.0;25;Defender;left;20.0;3.0;0.0;45.0;1429.0;0.0;0.0;1.9033333333333333;0.0;0.0;2.0;5.0;6.0;6300000.0;6300000.0
114;17/18;Adam Masina;15.65606019136176;15.501909511534503;191.0;24;Defender;left;35.0;1.0;0.0;37.0;2885.0;0.0;0.0;0.485;1.0;0.0;11.0;1.0;9.0;6300000.0;5400000.0
115;16/17;Adam Masina;15.096444403426338;15.096444403426338;191.0;23;Defender;left;34.0;1.0;1.0;38.0;2638.0;0.0;0.0;1.25;1.0;0.0;5.0;4.0;6.0;3600000.0;3600000.0
116;19/20;Adam Ounas;15.789591583986283;16.012735135300492;172.0;23;Forward;left;19.0;4.0;4.0;19.0;1401.0;0.0;0.0;1.845;1.0;0.0;9.0;2.0;2.0;7200000.0;9000000.0
117;18/19;Adam Ounas;16.012735135300492;16.012735135300492;172.0;22;Forward;left;26.0;1.0;4.0;38.0;783.0;0.0;0.0;1.7025000000000001;0.0;0.0;8.0;18.0;2.0;9000000.0;9000000.0
118;17/18;Adam Ounas;15.214227439082721;15.319587954740548;172.0;21;Forward;left;14.0;0.0;2.0;45.0;424.0;0.0;0.0;1.186;0.0;0.0;3.0;10.0;0.0;4050000.0;4500000.0
119;16/17;Adam Ounas;15.096444403426338;15.096444403426338;172.0;20;Forward;left;30.0;3.0;4.0;35.0;1462.0;0.0;1.0;1.9733333333333334;1.0;0.0;7.0;16.0;5.0;3600000.0;3600000.0
120;19/20;Adam Smith;15.65606019136176;15.907374619642667;174.0;29;Defender;right;19.0;1.0;0.0;19.0;1651.0;0.0;0.0;0.445;0.0;0.0;3.0;0.0;6.0;6300000.0;8100000.0
121;18/19;Adam Smith;15.65606019136176;15.319587954740548;174.0;28;Defender;right;26.0;1.0;1.0;26.0;2163.0;0.0;0.0;2.2199999999999998;1.0;0.0;6.0;0.0;5.0;6300000.0;4500000.0
122;17/18;Adam Smith;15.319587954740548;15.319587954740548;174.0;27;Defender;right;32.0;4.0;1.0;33.0;2438.0;0.0;0.0;1.4400000000000002;0.0;0.0;3.0;6.0;9.0;4500000.0;4500000.0
123;16/17;Adam Smith;15.319587954740548;14.626440774180603;174.0;26;Defender;right;36.0;5.0;1.0;36.0;3099.0;1.0;0.0;1.19;0.0;0.0;0.0;2.0;6.0;4500000.0;2250000.0
128;19/20;Adama Soumaoro;15.789591583986283;16.012735135300492;186.0;27;Defender;right;14.0;0.0;2.0;26.0;1132.0;1.0;0.0;1.984;0.0;0.0;1.0;2.0;4.0;7200000.0;9000000.0
129;18/19;Adama Soumaoro;16.012735135300492;16.012735135300492;186.0;26;Defender;right;22.0;1.0;0.0;25.0;1825.0;0.0;0.0;1.8;1.0;1.0;3.0;0.0;5.0;9000000.0;9000000.0
130;17/18;Adama Soumaoro;14.808762330974558;15.096444403426338;186.0;25;Defender;right;15.0;0.0;0.0;18.0;1284.0;0.0;0.0;2.035;0.0;0.0;3.0;0.0;2.0;2700000.0;3600000.0
131;16/17;Adama Soumaoro;14.626440774180603;14.403297222866392;186.0;24;Defender;right;33.0;0.0;1.0;37.0;2820.0;0.0;0.0;0.905;1.0;0.0;1.0;1.0;1.0;2250000.0;1800000.0
132;19/20;Adama Traoré;14.585618779660347;14.808762330974558;178.0;24;Midfielder;left;18.0;4.0;1.0;20.0;1063.0;0.0;0.0;0.5666666666666667;0.0;0.0;7.0;6.0;1.0;2160000.0;2700000.0
133;18/19;Adama Traoré;14.498607402670718;14.808762330974558;178.0;23;Midfielder;left;15.0;1.0;0.0;20.0;791.0;0.0;0.0;0.2575;0.0;0.0;6.0;6.0;1.0;1980000.0;2700000.0
134;17/18;Adama Traoré;15.65606019136176;15.65606019136176;178.0;22;Midfielder;left;3.0;0.0;3.0;6.0;188.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;1.0;6300000.0;6300000.0
135;16/17;Adama Traoré;14.808762330974558;15.319587954740548;178.0;21;Midfielder;left;14.0;0.0;3.0;28.0;441.0;0.0;0.0;1.8925;0.0;0.0;3.0;10.0;1.0;2700000.0;4500000.0
148;19/20;Admir Mehmedi;15.789591583986283;16.012735135300492;183.0;29;Forward;right;22.0;5.0;3.0;23.0;1363.0;0.0;0.0;1.995;0.0;0.0;13.0;6.0;0.0;7200000.0;9000000.0
149;18/19;Admir Mehmedi;16.012735135300492;15.789591583986283;183.0;28;Forward;right;28.0;7.0;7.0;29.0;1799.0;0.0;0.0;2.3449999999999998;0.0;0.0;14.0;7.0;1.0;9000000.0;7200000.0
150;17/18;Admir Mehmedi;15.319587954740548;15.319587954740548;183.0;27;Forward;right;21.0;5.0;3.0;29.0;1284.0;0.0;0.0;1.225;0.0;0.0;6.0;7.0;4.0;4500000.0;4500000.0
151;16/17;Admir Mehmedi;14.962913010801817;15.096444403426338;183.0;26;Forward;right;30.0;2.0;4.0;37.0;1663.0;0.0;0.0;1.3233333333333333;0.0;0.0;14.0;10.0;1.0;3150000.0;3600000.0
152;19/20;Adnan Januzaj;15.961441840912943;16.195056692094447;186.0;25;Forward;left;22.0;4.0;6.0;31.0;1081.0;0.0;0.0;2.38;0.0;0.0;10.0;9.0;3.0;8550000.0;10800000.0
153;18/19;Adnan Januzaj;16.41820024340866;16.41820024340866;186.0;24;Forward;left;24.0;4.0;2.0;24.0;1475.0;0.0;0.0;1.425;0.0;0.0;8.0;8.0;2.0;13500000.0;13500000.0
154;17/18;Adnan Januzaj;16.195056692094447;16.012735135300492;186.0;23;Forward;left;35.0;6.0;4.0;40.0;2004.0;0.0;0.0;1.7833333333333332;0.0;0.0;17.0;13.0;4.0;10800000.0;9000000.0
155;16/17;Adnan Januzaj;15.65606019136176;15.65606019136176;186.0;22;Forward;left;29.0;3.0;2.0;35.0;1956.0;0.0;0.0;1.225;0.0;1.0;9.0;7.0;3.0;6300000.0;6300000.0
156;19/20;Adrian Mariappa;14.180153671552183;14.403297222866392;179.0;33;Defender;right;18.0;0.0;0.0;23.0;1497.0;1.0;0.0;1.1666666666666667;0.0;1.0;0.0;2.0;3.0;1440000.0;1800000.0
157;18/19;Adrian Mariappa;14.808762330974558;14.115615150414612;179.0;32;Defender;right;32.0;1.0;0.0;44.0;2417.0;0.0;0.0;1.71;0.0;0.0;0.0;7.0;4.0;2700000.0;1350000.0
158;17/18;Adrian Mariappa;14.115615150414612;14.115615150414612;179.0;31;Defender;right;30.0;0.0;1.0;35.0;2388.0;0.0;0.0;0.37999999999999995;0.0;0.0;3.0;4.0;4.0;1350000.0;1350000.0
159;16/17;Adrian Mariappa;13.710150042306449;13.710150042306449;179.0;30;Defender;right;8.0;0.0;0.0;18.0;651.0;0.0;0.0;0.43;0.0;0.0;0.0;1.0;0.0;900000.0;900000.0
168;19/20;Adrien Hunou;15.278765960220293;15.501909511534503;179.0;26;Forward;right;34.0;1.0;11.0;36.0;1776.0;0.0;1.0;0.828;0.0;0.0;11.0;15.0;2.0;4320000.0;5400000.0
169;18/19;Adrien Hunou;15.501909511534503;14.962913010801817;179.0;25;Forward;right;29.0;1.0;11.0;38.0;1799.0;0.0;0.0;2.1633333333333336;0.0;0.0;10.0;9.0;1.0;5400000.0;3150000.0
170;17/18;Adrien Hunou;14.962913010801817;14.962913010801817;179.0;24;Forward;right;28.0;2.0;8.0;36.0;1589.0;0.0;0.0;1.96;0.0;0.0;12.0;10.0;1.0;3150000.0;3150000.0
171;16/17;Adrien Hunou;14.403297222866392;14.403297222866392;179.0;23;Forward;right;26.0;1.0;1.0;36.0;1305.0;0.0;0.0;1.95;0.0;0.0;5.0;14.0;2.0;1800000.0;1800000.0
172;19/20;Adrien Rabiot;16.948828494470828;17.175885945106174;188.0;25;Midfielder;left;24.0;0.0;0.0;33.0;1550.0;0.0;0.0;2.3699999999999997;0.0;1.0;7.0;8.0;3.0;22950000.0;28800000.0
173;18/19;Adrien Rabiot;17.26549810379586;17.26549810379586;188.0;24;Midfielder;left;20.0;2.0;2.0;21.0;1435.0;1.0;0.0;2.6199999999999997;0.0;0.0;2.0;4.0;3.0;31500000.0;31500000.0
174;17/18;Adrien Rabiot;17.622173047734595;17.516812532076766;188.0;23;Midfielder;left;50.0;6.0;5.0;51.0;3735.0;0.0;0.0;2.66;0.0;0.0;15.0;7.0;3.0;45000000.0;40500000.0
175;16/17;Adrien Rabiot;16.600521800202614;16.195056692094447;188.0;22;Midfielder;left;39.0;3.0;4.0;41.0;2793.0;0.0;0.0;2.5925000000000002;0.0;0.0;5.0;9.0;4.0;16200000.0;10800000.0
176;19/20;Adrien Silva;15.789591583986283;16.012735135300492;175.0;31;Midfielder;right;25.0;2.0;0.0;26.0;1404.0;0.0;0.0;2.0466666666666664;0.0;0.0;5.0;10.0;8.0;7200000.0;9000000.0
177;18/19;Adrien Silva;16.275099399767985;16.41820024340866;175.0;30;Midfielder;right;20.0;1.0;0.0;22.0;1506.0;0.0;0.0;1.9666666666666668;0.0;0.0;4.0;3.0;6.0;11700000.0;13500000.0
178;17/18;Adrien Silva;16.70588231586044;16.929025867174648;175.0;29;Midfielder;right;22.0;2.0;1.0;26.0;1436.0;0.0;0.0;1.75;0.0;0.0;10.0;4.0;4.0;18000000.0;22500000.0
179;16/17;Adrien Silva;16.929025867174648;16.929025867174648;175.0;28;Midfielder;right;36.0;4.0;6.0;37.0;2857.0;0.0;4.0;1.9100000000000001;0.0;0.0;11.0;2.0;10.0;22500000.0;22500000.0
180;19/20;Adrien Tamèze;15.278765960220293;15.501909511534503;180.0;26;Midfielder;right;13.0;0.0;1.0;20.0;587.0;0.0;0.0;1.8125;0.0;0.0;3.0;6.0;2.0;4320000.0;5400000.0
181;18/19;Adrien Tamèze;15.789591583986283;15.789591583986283;180.0;25;Midfielder;right;40.0;5.0;0.0;40.0;3250.0;0.0;0.0;0.9766666666666666;0.0;0.0;11.0;3.0;7.0;7200000.0;7200000.0
182;17/18;Adrien Tamèze;15.096444403426338;14.403297222866392;180.0;24;Midfielder;right;36.0;1.0;1.0;42.0;2076.0;0.0;0.0;0.908;0.0;0.0;11.0;13.0;4.0;3600000.0;1800000.0
183;16/17;Adrien Tamèze;13.487006490992238;13.199324418540456;180.0;23;Midfielder;right;36.0;1.0;0.0;36.0;2842.0;0.0;0.0;0.585;0.0;0.0;7.0;5.0;6.0;720000.0;540000.0
184;19/20;Adrien Thomasson;15.58195221920804;15.789591583986283;177.0;26;Midfielder;left;32.0;3.0;10.0;34.0;2529.0;0.0;0.0;1.13;0.0;0.0;16.0;3.0;6.0;5850000.0;7200000.0
185;18/19;Adrien Thomasson;15.789591583986283;15.789591583986283;177.0;25;Midfielder;left;38.0;8.0;5.0;42.0;2827.0;0.0;0.0;2.13;0.0;1.0;15.0;7.0;6.0;7200000.0;7200000.0
186;17/18;Adrien Thomasson;15.789591583986283;15.096444403426338;177.0;24;Midfielder;left;38.0;4.0;7.0;40.0;2770.0;0.0;0.0;0.44333333333333336;0.0;0.0;16.0;7.0;4.0;7200000.0;3600000.0
187;16/17;Adrien Thomasson;14.626440774180603;14.721750953984929;177.0;23;Midfielder;left;33.0;2.0;3.0;36.0;2211.0;0.0;0.0;1.4266666666666667;1.0;0.0;12.0;9.0;5.0;2250000.0;2475000.0
192;19/20;Adrián Embarba;15.414898134544874;15.65606019136176;173.0;28;Forward;left;31.0;12.0;9.0;33.0;2595.0;0.0;4.0;1.7066666666666668;0.0;0.0;7.0;2.0;6.0;4950000.0;6300000.0
