;season;name;log_marketvalue;log_prev_marketvalue;height_cm;age;position;foot;appearances;assists;goals;in_squad;minutes_played;owngoals;penalty;pointspermatch;red;secondyellow;sub_off;sub_on;yellow;marketvalue;prev_marketvalue
7627;16/17;Patrick van Aanholt;15.907374619642667;15.907374619642667;176.0;26;Defender;left;37.0;1.0;5.0;38.0;2947.0;0.0;0.0;1.165;0.0;0.0;4.0;4.0;3.0;8100000.0;8100000.0
7628;19/20;Patrik Schick;16.70588231586044;16.929025867174648;187.0;24;Forward;left;19.0;3.0;7.0;23.0;1174.0;0.0;0.0;1.4433333333333334;0.0;0.0;8.0;6.0;2.0;18000000.0;22500000.0
7629;18/19;Patrik Schick;16.41820024340866;16.41820024340866;187.0;23;Forward;left;32.0;3.0;5.0;44.0;1745.0;0.0;0.0;1.4166666666666667;0.0;0.0;9.0;13.0;5.0;13500000.0;13500000.0
7630;17/18;Patrik Schick;16.70588231586044;16.70588231586044;187.0;22;Forward;left;26.0;0.0;3.0;36.0;1281.0;0.0;0.0;1.2433333333333334;0.0;0.0;6.0;13.0;0.0;18000000.0;18000000.0
7631;16/17;Patrik Schick;16.41820024340866;15.65606019136176;187.0;21;Forward;left;35.0;4.0;13.0;41.0;1653.0;0.0;0.0;1.58;0.0;0.0;5.0;20.0;2.0;13500000.0;6300000.0
7636;19/20;Pau Torres;16.48273876454623;16.70588231586044;191.0;23;Defender;left;26.0;2.0;1.0;27.0;2221.0;0.0;0.0;2.145;0.0;0.0;2.0;1.0;4.0;14400000.0;18000000.0
7637;18/19;Pau Torres;15.096444403426338;14.626440774180603;191.0;22;Defender;left;40.0;0.0;1.0;41.0;3590.0;0.0;0.0;0.84;0.0;0.0;1.0;0.0;6.0;3600000.0;2250000.0
7638;17/18;Pau Torres;13.017002861746503;13.017002861746503;191.0;21;Defender;left;37.0;0.0;0.0;51.0;3195.0;0.0;0.0;0.8939999999999999;0.0;1.0;0.0;2.0;5.0;450000.0;450000.0
7639;16/17;Pau Torres;12.506177237980511;12.506177237980511;191.0;20;Defender;left;35.0;0.0;2.0;37.0;3070.0;0.0;0.0;1.2349999999999999;0.0;0.0;0.0;1.0;6.0;270000.0;270000.0
7652;19/20;Paul Dummett;15.414898134544874;15.65606019136176;183.0;28;Defender;left;17.0;0.0;0.0;20.0;1241.0;1.0;0.0;0.69;0.0;0.0;3.0;3.0;2.0;4950000.0;6300000.0
7653;18/19;Paul Dummett;15.319587954740548;14.962913010801817;183.0;27;Defender;left;26.0;0.0;0.0;29.0;1986.0;0.0;0.0;1.19;0.0;0.0;1.0;5.0;1.0;4500000.0;3150000.0
7654;17/18;Paul Dummett;14.962913010801817;14.962913010801817;183.0;26;Defender;left;22.0;0.0;0.0;25.0;1755.0;0.0;0.0;2.433333333333333;0.0;0.0;3.0;1.0;2.0;3150000.0;3150000.0
7655;16/17;Paul Dummett;14.962913010801817;14.962913010801817;183.0;25;Defender;left;46.0;0.0;0.0;53.0;4013.0;0.0;0.0;2.51;1.0;0.0;3.0;1.0;8.0;3150000.0;3150000.0
7656;19/20;Paul Lasne;14.240778293368619;14.498607402670718;186.0;31;Midfielder;left;20.0;1.0;2.0;26.0;1319.0;0.0;0.0;0.63;0.0;0.0;6.0;5.0;1.0;1530000.0;1980000.0
7657;18/19;Paul Lasne;14.626440774180603;14.626440774180603;186.0;30;Midfielder;left;37.0;0.0;2.0;38.0;1942.0;0.0;0.0;0.5233333333333333;0.0;0.0;7.0;17.0;5.0;2250000.0;2250000.0
7658;17/18;Paul Lasne;14.626440774180603;14.626440774180603;186.0;29;Midfielder;left;42.0;2.0;1.0;43.0;3463.0;0.0;0.0;2.1266666666666665;0.0;0.0;4.0;4.0;10.0;2250000.0;2250000.0
7659;16/17;Paul Lasne;14.626440774180603;14.403297222866392;186.0;28;Midfielder;left;27.0;3.0;3.0;31.0;1741.0;0.0;0.0;0.8766666666666666;0.0;0.0;8.0;8.0;2.0;2250000.0;1800000.0
7660;19/20;Paul Pogba;18.09217667698033;18.31532022829454;191.0;27;Midfielder;both;8.0;2.0;0.0;8.0;610.0;0.0;0.0;2.145;0.0;0.0;0.0;2.0;0.0;72000000.0;90000000.0
7661;18/19;Paul Pogba;18.31532022829454;18.209959712636714;191.0;26;Midfielder;both;47.0;11.0;16.0;49.0;4012.0;0.0;8.0;1.6366666666666667;0.0;1.0;7.0;2.0;6.0;90000000.0;81000000.0
7662;17/18;Paul Pogba;18.209959712636714;18.209959712636714;191.0;25;Midfielder;both;37.0;12.0;6.0;38.0;2879.0;0.0;0.0;1.1179999999999999;1.0;0.0;7.0;4.0;6.0;81000000.0;81000000.0
7663;16/17;Paul Pogba;18.02763815584276;18.09217667698033;191.0;24;Midfielder;both;51.0;6.0;9.0;53.0;4350.0;0.0;1.0;1.98;0.0;0.0;6.0;2.0;10.0;67500000.0;72000000.0
